"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2021","175.60","175.60","190.00","180.00","498.75K","0.00%"
"04/11/2021","175.60","175.60","193.10","180.00","497.67K","0.00%"
"03/11/2021","175.60","175.60","184.90","178.20","318.65K","0.00%"
"02/11/2021","175.60","175.60","181.80","178.50","1.23M","0.00%"
"01/11/2021","175.60","175.60","181.80","177.00","1.21M","0.00%"
"29/10/2021","175.60","175.60","180.50","176.00","827.35K","0.00%"
"28/10/2021","175.60","174.00","175.60","175.60","1.29M","0.92%"
"27/10/2021","174.00","174.00","176.00","174.10","549.42K","0.00%"
"26/10/2021","174.00","174.00","174.10","174.00","1.91M","0.00%"
"25/10/2021","174.00","174.00","174.00","174.00","859.77K","0.00%"
"22/10/2021","174.00","174.00","174.00","174.00","2.19M","0.00%"
"21/10/2021","174.00","172.00","174.00","172.00","2.67M","1.16%"
"20/10/2021","172.00","169.90","172.00","172.00","634.21K","1.24%"
"18/10/2021","169.90","174.90","169.90","169.90","1.51M","-2.86%"
"15/10/2021","174.90","174.90","171.90","169.50","190.39K","0.00%"
"14/10/2021","174.90","174.90","171.00","165.10","160.65K","0.00%"
"13/10/2021","174.90","174.90","174.00","167.00","1.09M","0.00%"
"12/10/2021","174.90","174.90","173.70","167.10","189.81K","0.00%"
"11/10/2021","174.90","174.90","173.90","169.00","494.23K","0.00%"
"08/10/2021","174.90","174.90","174.90","172.10","639.93K","0.00%"
"07/10/2021","174.90","174.90","174.90","168.00","254.39K","0.00%"
"06/10/2021","174.90","174.90","174.40","172.20","674.60K","0.00%"
"05/10/2021","174.90","174.90","174.80","172.10","908.43K","0.00%"
"04/10/2021","174.90","174.90","190.00","172.50","325.89K","0.00%"
"30/09/2021","174.90","175.00","175.00","174.90","1.14M","-0.06%"
"29/09/2021","175.00","175.00","175.00","174.00","380.20K","0.00%"
"28/09/2021","175.00","175.00","179.00","174.10","134.72K","0.00%"
"27/09/2021","175.00","175.00","175.00","175.00","2.66M","0.00%"
"24/09/2021","175.00","175.00","175.00","175.00","5.06M","0.00%"
"23/09/2021","175.00","175.00","175.00","175.00","463.45K","0.00%"
"22/09/2021","175.00","175.00","176.00","174.30","159.53K","0.00%"
"21/09/2021","175.00","175.00","175.00","175.00","832.22K","0.00%"
"20/09/2021","175.00","175.00","175.00","175.00","4.30M","0.00%"
"17/09/2021","175.00","175.00","175.00","175.00","1.35M","0.00%"
"16/09/2021","175.00","175.00","176.00","173.60","139.03K","0.00%"
"15/09/2021","175.00","172.50","175.00","174.50","5.79M","1.45%"
"14/09/2021","172.50","172.50","177.00","172.60","1.35M","0.00%"
